GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4227,2019-09-07 09:13:29:506,-0.9684,-0.0227,9.9665,0.0089,-0.0009,9.8066,-0.0045,-0.1089,-0.0368,-32.06,-30.37,5,312.14,-83.12,-141.8
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4327,2019-09-07 09:13:29:606,-0.3069,-1.3369,9.9218,-0.0087,0.0096,9.8066,0.0214,-0.1285,-0.0056,-31.75,-30.19,5.38,311.38,-83.06,-142.46
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4427,2019-09-07 09:13:29:706,-0.0226,-2.0653,10.0332,0.021,0.0054,9.8066,-0.0368,-0.1373,0.0092,-31.56,-29.94,6.31,311.87,-82.96,-143.69
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4527,2019-09-07 09:13:29:806,0.0734,-1.5827,10.269,-0.0013,0.0182,9.8065,-0.0183,-0.1226,-0.0184,-32.12,-30.5,5.94,310.7,-83.13,-144.9
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4628,2019-09-07 09:13:29:907,0.1095,-0.0062,9.9086,0.0059,0.0273,9.8065,-0.001,-0.0649,-0.0627,-32.25,-29.56,5.81,309.06,-83.28,-146.54
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4727,2019-09-07 09:13:30:006,0.7304,-0.697,10.2125,0.0062,0.0301,9.8066,0.0512,-0.0781,-0.054,-31.37,-30.25,6.69,307.25,-83.6,-150.48
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4827,2019-09-07 09:13:30:106,0.7136,0.2314,9.9019,-0.0004,0.0212,9.8066,0.0156,-0.0156,-0.0292,-31.37,-30.62,5.88,302.57,-83.87,-153.15
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,4927,2019-09-07 09:13:30:206,-0.1565,-0.5425,9.7293,0.0003,0.0193,9.8066,-0.0316,-0.0319,-0.0417,-30.87,-29.75,6,299.62,-84.1,-156.31
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5027,2019-09-07 09:13:30:306,0.4673,-0.3767,9.9896,0.0062,0.022,9.8066,-0.0318,0.0814,-0.1118,-30.56,-30.62,5.94,295.43,-84.32,-160.36
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5127,2019-09-07 09:13:30:406,0.0178,0.0381,10.2658,0.0072,0.0311,9.8065,0.0235,0.0124,-0.0468,-30.69,-30.37,5.63,293.92,-84.41,-162.06
